repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC
justcallmekoko/ESP32Marauder,6853,240,25,187,212,C++,FALSE,https://github.com/justcallmekoko/ESP32Marauder,453.55,TRUE,2020-01-31 15:30:22,2021-05-21T01:45:25Z,475,24466,65
OSGeo/gdal,5088,537,27,7804,7831,C++,FALSE,https://github.com/OSGeo/gdal,395.85,TRUE,2012-10-06 23:32:07,2024-08-26T13:06:28Z,4341,2019826,64
Tencent/TNN,4457,313,9,1032,1041,C++,FALSE,https://github.com/Tencent/TNN,57.77,TRUE,2020-07-06 6:41:21,2021-12-07T08:29:48Z,519,698518,66
apache/incubator-pagespeed-ngx,4360,354,0,642,642,C++,FALSE,https://github.com/apache/incubator-pagespeed-ngx,78.87,TRUE,2016-05-02 20:14:16,2022-06-30T19:20:41Z,2249,8556,33
USCiLab/cereal,4305,326,53,165,218,C++,FALSE,https://github.com/USCiLab/cereal,18.04,TRUE,2014-03-12 0:02:36,2021-06-22T12:03:22Z,2659,32492,232
giuspen/cherrytree,3515,1012,1,465,466,C++,FALSE,https://github.com/giuspen/cherrytree,75.72,TRUE,2020-04-20 8:52:26,2020-11-21T16:55:52Z,215,397557,89
visualboyadvance-m/visualboyadvance-m,3444,279,7,440,447,C++,FALSE,https://github.com/visualboyadvance-m/visualboyadvance-m,60.68,TRUE,2018-06-27 2:15:22,2021-05-12T18:18:22Z,1050,248878,95
slic3r/Slic3r,3403,1159,43,547,590,C++,FALSE,https://github.com/slic3r/Slic3r,163.54,TRUE,2013-09-19 8:42:49,2023-09-16T07:30:26Z,3648,139246,115
GarageGames/Torque3D,3348,373,64,1549,1613,C++,FALSE,https://github.com/GarageGames/Torque3D,199.2,TRUE,2018-07-09 20:17:48,2020-07-01T00:09:57Z,722,1704701,38
Haivision/srt,3195,353,90,1635,1725,C++,FALSE,https://github.com/Haivision/srt,14.74,TRUE,2017-06-23 22:51:40,2025-02-14T16:00:49Z,2792,75370,82
ruby/ruby,22346,443,442,12247,12689,Ruby,FALSE,https://github.com/ruby/ruby,316.52,TRUE,2011-11-26 6:26:44,2025-02-14T23:28:32Z,4829,1668279,99
