repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,reduced_test_LOC_HGS
checkpoint-restore/criu,3082,239,34,1116,1150,C,False,https://github.com/checkpoint-restore/criu,20.76,True,2014-09-30 17:51:16,2021-06-22T13:08:46Z,1543.7714285714285,161187,35,22
civetweb/civetweb,2967,177,7,524,531,C,False,https://github.com/civetweb/civetweb,27.55,True,2013-03-11 14:25:11,2023-10-15T17:04:22Z,2511.068702290076,652248,131,85
rizinorg/rizin,2796,472,51,3583,3634,C,False,https://github.com/rizinorg/rizin,149.35,True,2014-06-13 9:56:17,2025-02-13T22:29:01Z,2494.7200000000003,958877,50,32
simd-everywhere/simde,2525,142,9,852,861,C,False,https://github.com/simd-everywhere/simde,37.38,True,2017-04-14 21:27:50,2023-12-14T17:34:29Z,1528.3255813953488,835690,43,27
cc65/cc65,2375,230,22,1368,1390,C,False,https://github.com/cc65/cc65,29.08,True,2013-05-02 11:32:09,2021-10-22T23:24:27Z,1883.913043478261,286413,23,14
flame/blis,2372,112,27,374,401,C,False,https://github.com/flame/blis,48.44,True,2015-08-21 16:24:28,2024-11-29T00:27:34Z,2181.022727272727,415125,132,85
vedderb/bldc,2323,206,39,443,482,C,False,https://github.com/vedderb/bldc,86.39,True,2019-01-25 22:39:59,2021-05-06T17:22:18Z,511.3846153846154,1235428,13,8
open-quantum-safe/liboqs,2058,100,9,1144,1153,C,False,https://github.com/open-quantum-safe/liboqs,149.17,True,2016-10-01 20:10:13,2025-02-10T21:59:21Z,1890.5714285714287,383569,21,13
CoatiSoftware/Sourcetrail,15162,354,0,190,190,C++,False,https://github.com/CoatiSoftware/Sourcetrail,289.95,True,2019-12-17 10:04:02,2021-12-13T18:51:05Z,462.6363636363636,332131,22,14
apache/incubator-weex,13727,248,16,2382,2398,C++,False,https://github.com/apache/incubator-weex,276.11,True,2016-12-28 7:01:04,2021-05-31T11:24:52Z,1043.6556603773586,443038,212,137
